Test_ID,Category,Design_Feature_Targeted,Test_Scenario_Stimulus,Scoreboard_Checkers,Coverage_Goals,Priority
TC_RAM_RST_01,Reset & Init,Synchronous Reset (Cold Reset),Assert rst=1 at time 0 for 5 clock cycles; deassert rst synchronously on clk edge.,"Verify all outputs reset: awready=0, wready=0, bvalid=0, arready=0, rvalid=0; verify state transitions to WRITE_STATE_IDLE and READ_STATE_IDLE.",CC: rst branch (Line 275 & 366); FC: reset baseline,P0
TC_RAM_RST_02,Reset & Init,Reset During In-Flight Write Burst,"Assert rst=1 while in WRITE_STATE_BURST (e.g. beat 3 of 8-beat write).","Verify write immediately terminates; no BVALID generated; incomplete write data not corrupted or further written; state returns to WRITE_STATE_IDLE; awready re-asserts after reset deassertion.",CC: rst during WRITE_STATE_BURST; FC: write abort coverage,P1
TC_RAM_RST_03,Reset & Init,Reset During In-Flight Read Burst,"Assert rst=1 while in READ_STATE_BURST (e.g. beat 2 of 4-beat read with rvalid=1).","Verify read immediately terminates; rvalid deasserts; no RLAST generated; state returns to READ_STATE_IDLE; arready re-asserts after reset deassertion.",CC: rst during READ_STATE_BURST; FC: read abort coverage,P1
TC_RAM_RST_04,Reset & Init,Reset During Write Response Pending,"Assert rst=1 while in WRITE_STATE_RESP (bvalid=1, master holding bready=0).","Verify bvalid immediately clears; bid deasserts; state transitions to WRITE_STATE_IDLE without waiting for bready.",CC: rst during WRITE_STATE_RESP; FC: response abort coverage,P1
TC_RAM_WR_01,Write Channel,Single-Beat Aligned Write (awlen=0),Send 1-beat Write burst to aligned address 0x1000 with awsize=2 (4B) and awlen=0.,"Scoreboard verifies BVALID asserted, BRESP=2'b00 (OKAY), BID matches AWID; memory model updates 32-bit word.",CC: write_count_reg==0; FC: cp_awlen[single_beat],P0
TC_RAM_WR_02,Write Channel,Short Burst Writes (awlen=1..15),Sweep awlen across 2 to 16 beats (awlen=1, 3, 7, 15) with INCR burst to random addresses.,"Scoreboard tracks beat count, verifies exactly len+1 write beats accepted before WREADY deasserts and BVALID asserts; verifies sequential address memory updates.",CC: write_count_reg > 0; FC: cp_awlen[short_burst],P0
TC_RAM_WR_03,Write Channel,Medium Burst Writes (awlen=16..63),Sweep awlen across 17 to 64 beats (awlen=16, 31, 63) with INCR burst.,"Scoreboard verifies burst counter bits [5:4] increment correctly without premature termination or truncation.",CC: burst_cnt[5:4]; FC: cp_awlen[med_burst],P1
TC_RAM_WR_04,Write Channel,Long Burst Writes (awlen=64..254),Sweep awlen across 65 to 255 beats (awlen=64, 127, 254) with continuous streaming.,"Scoreboard verifies all write beats written without pipeline underflow or stall; byte-for-byte memory integrity verified.",CC: high beat counts; FC: cp_awlen[long_burst],P1
TC_RAM_WR_05,Write Channel,Maximum Burst Length (awlen=255),Send maximum allowed 256-beat write burst (awlen=8'hFF) to base address 0x0000.,"Scoreboard verifies exact 256 beats written; verifies counter does not overflow 255->0 into infinite loop lockup.",CC: 8'hFF rollover guard; FC: cp_awlen[max_burst],P0
TC_RAM_WR_06,Write Channel,Narrow Write 1-Byte (awsize=0),Send 4-beat write with awsize=3'b000 (1 Byte) to address 0x1000.,"Scoreboard verifies address increments by +1 per beat (0x1000, 0x1001, 0x1002, 0x1003); only designated byte lanes updated.",CC: write_addr_reg + (1<<write_size_reg); FC: cp_awsize[size_1B],P0
TC_RAM_WR_07,Write Channel,Narrow Write 2-Byte (awsize=1),Send 4-beat write with awsize=3'b001 (2 Bytes) to address 0x1000.,"Scoreboard verifies address increments by +2 per beat (0x1000, 0x1002, 0x1004, 0x1006); half-words written correctly.",CC: write_size_reg=1; FC: cp_awsize[size_2B],P0
TC_RAM_WR_08,Write Channel,Full-Width Write 4-Byte (awsize=2),Send 4-beat write with awsize=3'b010 (4 Bytes) to address 0x1000.,"Scoreboard verifies address increments by +4 per beat; full 32-bit words written.",CC: write_size_reg=2; FC: cp_awsize[size_4B],P0
TC_RAM_WR_09,Write Channel,Write Size Clamping (awsize >= 3),Send write burst with requested awsize=3'b011 (8 Bytes) or 3'b100 (16 Bytes) on a 32-bit bus.,"Scoreboard verifies RTL clamps write_size to $clog2(STRB_WIDTH)=2 (4 Bytes); memory increments by 4 instead of corrupting out of bounds.",CC: ternary condition line 206 (clamping branch); FC: cp_awsize clamping,P1
TC_RAM_WR_10,Write Channel,Burst Type FIXED (awburst=2'b00),Send 4-beat write with awburst=2'b00 (FIXED) to address 0x2000.,"Scoreboard verifies memory address remains frozen at 0x2000 across all 4 beats; last beat overwrites previous beats at 0x2000.",CC: line 221 false branch (write_burst_reg == 2'b00); FC: cp_awburst[burst_fixed],P0
